"",""," ","","","","","","","","","","","","","","",""
"",""," ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Demonstrativo Mensal das Incidências Criminais 2015 - Roubo de Veículos","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Áreas   \   Períodos","","M         E          S          E          S","","","","","","","","","","","","TOTAL","",""
"","UOp","UNIDADES POLICIAIS","JAN ","FEV","MAR","ABR","MAI","JUN","JUL","AGO","SET","OUT","NOV","DEZ","","",""
"","7º BPM","074a. Alcantara","108","83","89","75","84","68","60","68","0","0","0","0","635","",""
"","7º BPM","075a. Rio do Ouro","78","25","55","28","40","48","63","54","0","0","0","0","391","",""
"","12º BPM","076a. Niterói - Centro","12","6","14","16","9","9","10","12","0","0","0","0","88","",""
"","12º BPM","077a. Icaraí","24","21","23","25","23","15","21","10","0","0","0","0","162","",""
"","12º BPM","078a. Fonseca","42","25","27","49","39","52","30","40","0","0","0","0","304","",""
"","12º BPM","079a. Jurujuba","30","23","20","17","17","16","18","19","0","0","0","0","160","",""
"","12º BPM","081a. Itaipú","21","20","35","15","15","4","14","18","0","0","0","0","142","",""
"","12º BPM","082a. Maricá","20","13","19","12","10","11","7","18","0","0","0","0","110","",""
"","10º BPM","087a. Paty de Alferes ( a inaugurar)","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","10º BPM","088a. Barra do Piraí","0","1","0","0","0","0","0","0","0","0","0","0","1","",""
"","37º BPM","089a. Resende","1","1","0","1","0","0","1","0","0","0","0","0","4","",""
"","28º BPM","090a. Barra Mansa","0","1","1","1","5","0","1","2","0","0","0","0","11","",""
"","10º BPM","091a. Valença","0","0","1","0","0","1","0","0","0","0","0","0","2","",""
"","10º BPM","092a. Rio das Flores","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","28º BPM","093a. Volta Redonda","1","1","1","2","2","2","0","1","0","0","0","0","10","",""
"","10º BPM","094a. Piraí","0","0","0","1","0","0","0","0","0","0","0","0","1","",""
"","10º BPM","095a. Vassouras","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","10º BPM","096a. Miguel Pereira","0","0","0","1","1","0","1","0","0","0","0","0","3","",""
"","10º BPM","097a. Mendes","0","0","0","0","0","0","1","0","0","0","0","0","1","",""
"","10º BPM","098a. Paulo de Frontin","0","0","0","0","1","0","0","0","0","0","0","0","1","",""
"","37º BPM","099a. Itatiaia","0","0","0","1","0","0","0","0","0","0","0","0","1","",""
"","37º BPM","100a. Porto Real","0","0","0","1","0","0","0","0","0","0","0","0","1","",""
"","28º BPM","101a. Pinheiral ","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","30º BPM","104a. São J. Rio Preto","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","26º BPM","105a. Petrópolis","1","1","1","2","2","1","2","1","0","0","0","0","11","",""
"","26º BPM","106a. Itaipava","0","0","0","3","0","0","0","0","0","0","0","0","3","",""
"","38º BPM","107a. Paraíba do Sul","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","38º BPM","108a. Três Rios","1","0","1","0","0","0","0","0","0","0","0","0","2","",""
"","38º BPM","109a. Sapucaia","0","0","0","0","1","0","1","0","0","0","0","0","2","",""
"","30º BPM","110a. Teresópolis","0","1","0","0","2","1","0","0","0","0","0","0","4","",""
"","30º BPM","111a. Sumidouro","0","0","0","0","1","0","0","0","0","0","0","0","1","",""
"","30º BPM","112a. Carmo","0","1","0","0","0","0","0","0","0","0","0","0","1","",""
"","25º BPM","118a. Araruama","1","2","5","6","4","7","4","3","0","0","0","0","32","",""
"","35º BPM","119a. Rio Bonito ","4","2","8","6","1","2","1","1","0","0","0","0","25","",""
"","35º BPM","120a. Silva Jardim","0","3","1","0","0","1","0","0","0","0","0","0","5","",""
